id,userName,userUrl,version,score,updated,title,text,url
9235713014,mkkyle,https://itunes.apple.com/kr/reviews/id1092086276,13.19.0,2,2022-10-29T19:12:10-07:00,취소요청,"결제취소요청 
구매목록 삭제요청",https://itunes.apple.com/kr/review?id=547702041&type=Purple%20Software
9234265088,danny408653600,https://itunes.apple.com/kr/reviews/id110355551,13.19.0,1,2022-10-29T08:41:11-07:00,쓰레기,이앱은 완전 쓰레기입니다,https://itunes.apple.com/kr/review?id=547702041&type=Purple%20Software
9233524649,개빡딥빡쏘빡,https://itunes.apple.com/kr/reviews/id788896293,13.19.0,2,2022-10-29T04:44:16-07:00,신분확인된사람만 이용가능하데서,신분증 몇번이고 사진찍어도 인증실패됨,https://itunes.apple.com/kr/review?id=547702041&type=Purple%20Software
9233327504,욱종잌,https://itunes.apple.com/kr/reviews/id142955236,13.19.0,1,2022-10-29T03:27:50-07:00,아무이유없이 차단,"계속적으로 이런 문제가 생기는듯한데
틴더에서는 아무런 조치를 취하지 않네…

상담원도 제대로된 답변을 안하는중",https://itunes.apple.com/kr/review?id=547702041&type=Purple%20Software
9233274186,kdyssan,https://itunes.apple.com/kr/reviews/id1462322783,13.19.0,5,2022-10-29T03:06:00-07:00,환불해주세요,"두번 결제 한거 다 환불해주세요 
그리고 골드 업그레이든데 추가요금이 아닌 원래 요금으로 결제 되나요",https://itunes.apple.com/kr/review?id=547702041&type=Purple%20Software
9229037174,Aetros,https://itunes.apple.com/kr/reviews/id396146023,13.19.0,1,2022-10-27T20:15:54-07:00,갑자기 계정 차단,정말 이유 없이 어느날 갑자기 계정이 차단됐는데 어이가 없네요. 플래티넘 서비스도 사용중이었는데 이게 대체 무슨짓이죠?? 먹튀인가요?? 혹시나 해서 이용자 약관 처음부터 끝까지 다 읽어봤는데 위반되는 사항이 단 하나도 없었습니다. 빠른 해결이 안되면 애플 앱스토어 통해서 클레임 걸겠습니다.,https://itunes.apple.com/kr/review?id=547702041&type=Purple%20Software
9226105650,멕킨리,https://itunes.apple.com/kr/reviews/id494325438,13.19.0,3,2022-10-26T23:30:57-07:00,틴더 불편함 보고,"예전에 알게된 대화친구를 찾으려면 어떻게 하나요?
틴더이름으로 찾을수 있을까요?
저는 틴더 플래티늄고객입니다. 

그리고 대화후 헤어진 사람에게 틴더문자라도 한번 더 날릴수 있는 부활찬스버튼 만들어주세요
아쉽고 그리운 사람에게 문자한번더 날릴기회를 주세요",https://itunes.apple.com/kr/review?id=547702041&type=Purple%20Software
9225861249,eldeen97,https://itunes.apple.com/kr/reviews/id575530660,13.19.0,1,2022-10-26T21:21:16-07:00,정지 문의,뭐만하면 정지당하네 어이가없어,https://itunes.apple.com/kr/review?id=547702041&type=Purple%20Software
9224101675,GOD_Ji,https://itunes.apple.com/kr/reviews/id1455934834,13.19.0,1,2022-10-26T08:15:15-07:00,프로필 인증 오류 해결해주세요.,"전 가이드라인에 위반되는 행동은 하지않은 유저입니다.
제가 차단당한건가요?
지금 프로필인증하라고, 계정이 잠금되었다고 나오는데 인증하기를 눌러도 인터넷 연결에 문제가 있다고 오류가 지속적으로 뜨면서 인증창 자체가 뜨지않습니다..
앱 재설치 및 인터넷 와이파이 변경등 모든 방법을 사용하였으나 이 오류가 해결되지 않습니다.
현재 대화중이던 분이 계셨는데…답장을 기다리고 계실듯해여 마음이 조급합니다.
빠른해결 부탁드립니다.",https://itunes.apple.com/kr/review?id=547702041&type=Purple%20Software
9223170083,사랑니겁나아파,https://itunes.apple.com/kr/reviews/id1458920558,13.19.0,2,2022-10-26T02:44:38-07:00,구독 취소 및 결제 환불,해 주세여,https://itunes.apple.com/kr/review?id=547702041&type=Purple%20Software
